iter	Passed	Remaining
399	44601	66902
400	44709	66785
401	44817	66668
402	44932	66561
403	45054	66466
404	45163	66350
405	45269	66232
406	45378	66116
407	45484	65997
408	45594	65883
409	45703	65768
410	45816	65658
411	45933	65556
412	46042	65440
413	46160	65338
414	46278	65235
415	46392	65128
416	46505	65017
417	46614	64903
418	46724	64789
419	46832	64672
420	46938	64554
421	47045	64437
422	47157	64325
423	47268	64213
424	47378	64099
425	47499	64001
426	47619	63901
427	47732	63791
428	47847	63684
429	47959	63574
430	48075	63468
431	48186	63356
432	48296	63242
433	48404	63127
434	48513	63011
435	48625	62900
436	48746	62800
437	48858	62691
438	48971	62581
439	49083	62469
440	49193	62356
441	49303	62242
442	49410	62125
443	49520	62011
444	49628	61896
445	49736	61780
446	49845	61665
447	49959	61557
448	50068	61442
449	50176	61326
450	50283	61209
451	50395	61099
452	50506	60987
453	50616	60873
454	50722	60755
455	50831	60640
456	50939	60525
457	51047	60409
458	51157	60297
459	51272	60189
460	51383	60077
461	51492	59962
462	51601	59848
463	51715	59740
464	51824	59626
465	51933	59511
466	52041	59396
467	52149	59280
468	52257	59166
469	52363	59048
470	52476	58938
471	52590	58830
472	52702	58719
473	52814	58608
474	52930	58502
475	53046	58395
476	53164	58290
477	53275	58180
478	53388	58069
479	53500	57959
480	53610	57845
481	53724	57736
482	53840	57630
483	53957	57524
484	54070	57415
485	54182	57303
486	54297	57196
487	54412	57088
488	54527	56980
489	54641	56872
490	54751	56758
491	54863	56647
492	54972	56533
493	55093	56431
494	55212	56328
495	55324	56216
496	55436	56105
497	55549	55995
498	55667	55890
499	55784	55784
500	55900	55677
501	56014	55567
502	56127	55457
503	56241	55348
504	56353	55237
505	56471	55131
506	56589	55027
507	56702	54916
508	56816	54807
509	56928	54695
510	57042	54586
511	57160	54480
512	57276	54373
513	57391	54265
514	57503	54153
515	57615	54042
516	57727	53930
517	57846	53826
518	57961	53717
519	58073	53606
520	58188	53497
521	58303	53389
522	58425	53286
523	58540	53178
524	58653	53067
525	58764	52955
526	58876	52843
527	58992	52735
528	59112	52631
529	59229	52524
530	59342	52413
531	59455	52303
532	59569	52192
533	59685	52085
534	59799	51975
535	59913	51865
536	60026	51754
537	60137	51642
538	60251	51532
539	60370	51426
540	60487	51319
541	60603	51211
542	60716	51100
543	60832	50991
544	60946	50881
545	61066	50777
546	61184	50670
547	61301	50562
548	61414	50451
549	61528	50341
550	61649	50236
551	61764	50127
552	61880	50018
553	61992	49907
554	62103	49794
555	62219	49686
556	62333	49575
557	62456	49472
558	62572	49364
559	62685	49253
560	62801	49143
561	62922	49039
562	63036	48928
563	63148	48817
564	63261	48705
565	63375	48595
566	63489	48484
567	63610	48379
568	63724	48269
569	63840	48160
570	63955	48050
571	64067	47938
572	64190	47834
573	64306	47725
574	64420	47615
575	64531	47502
576	64643	47390
577	64756	47279
578	64874	47170
579	64991	47062
580	65107	46953
581	65220	46842
582	65333	46730
583	65449	46621
584	65562	46510
585	65677	46400
586	65790	46288
587	65900	46175
588	66013	46063
589	66124	45950
590	66243	45843
591	66357	45733
592	66476	45625
593	66588	45513
594	66698	45399
595	66813	45289
596	66929	45180
597	67042	45068
598	67156	44957
599	67270	44847
600	67382	44734
601	67495	44623
602	67617	44517
603	67732	44407
604	67845	44295
605	67959	44184
606	68079	44077
607	68198	43969
608	68315	43861
609	68429	43750
610	68542	43638
611	68657	43527
612	68770	43416
613	68888	43307
614	69006	43199
615	69120	43088
616	69232	42976
617	69348	42866
618	69466	42757
619	69584	42648
620	69699	42538
621	69815	42428
622	69926	42315
623	70039	42203
624	70157	42094
625	70274	41984
626	70387	41873
627	70500	41761
628	70612	41648
629	70728	41538
630	70848	41430
631	70964	41321
632	71077	41209
633	71187	41095
634	71301	40984
635	71418	40874
636	71537	40766
637	71652	40655
638	71766	40544
639	71878	40431
640	71997	40323
641	72117	40215
642	72234	40105
643	72355	39997
644	72470	39887
645	72592	39779
646	72714	39672
647	72834	39564
648	72947	39452
649	73060	39340
650	73172	39227
651	73288	39117
652	73404	39006
653	73520	38896
654	73639	38787
655	73755	38676
656	73870	38565
657	73986	38455
658	74100	38343
659	74216	38232
660	74332	38122
661	74446	38010
662	74559	37898
663	74684	37792
664	74801	37682
665	74919	37572
666	75034	37461
667	75148	37349
668	75264	37238
669	75387	37131
670	75506	37021
671	75620	36909
672	75733	36797
673	75844	36684
674	75958	36572
675	76073	36461
676	76187	36349
677	76302	36238
678	76416	36126
679	76531	36014
680	76653	35906
681	76769	35795
682	76882	35683
683	76992	35569
684	77106	35457
685	77226	35348
686	77349	35240
687	77464	35129
688	77579	35017
689	77696	34906
690	77823	34801
691	77942	34691
692	78059	34580
693	78172	34468
694	78286	34356
695	78401	34244
696	78516	34132
697	78636	34023
698	78756	33913
699	78873	33802
700	78989	33691
701	79110	33582
702	79228	33471
703	79344	33360
704	79457	33248
705	79572	33136
706	79684	33023
707	79801	32912
708	79920	32802
709	80036	32691
710	80151	32579
711	80269	32468
712	80395	32361
713	80507	32248
714	80618	32134
715	80733	32022
716	80851	31911
717	80969	31801
718	81093	31693
719	81209	31581
720	81319	31467
721	81434	31355
722	81548	31243
723	81665	31132
724	81783	31021
725	81897	30909
726	82009	30795
727	82121	30682
728	82236	30570
729	82356	30460
730	82471	30348
731	82583	30235
732	82694	30121
733	82807	30009
734	82924	29897
735	83040	29786
736	83156	29674
737	83270	29562
738	83385	29450
739	83496	29336
740	83611	29224
741	83725	29111
742	83843	29000
743	83957	28888
744	84071	28776
745	84182	28662
746	84299	28551
747	84419	28440
748	84533	28328
749	84647	28215
750	84762	28103
751	84876	27991
752	84995	27880
