iter	MultiClass
0	1.269206745
1	1.174530494
2	1.096590868
3	1.029305228
4	0.961816216
5	0.9069860339
6	0.8580316133
7	0.8123734473
8	0.776215015
9	0.7420017919
10	0.7091589391
11	0.6778138111
12	0.6488663402
13	0.6262198807
14	0.5998363781
15	0.576158654
16	0.5566749736
17	0.536908153
18	0.519750554
19	0.5014516221
20	0.4873068881
21	0.4715512928
22	0.4565541345
23	0.4427147969
24	0.4286190367
25	0.4149963977
26	0.4025780544
27	0.39138471
28	0.3786716607
29	0.367689634
30	0.3588551955
31	0.3497566265
32	0.3412799128
33	0.3321323854
34	0.3236114502
35	0.3153487414
36	0.3076450739
37	0.301452975
38	0.2941224275
39	0.2883001075
40	0.2824323379
41	0.2758276432
42	0.2703528162
43	0.2649042924
44	0.2595113362
45	0.2539687921
46	0.2494412211
47	0.2443295811
48	0.2392621241
49	0.2360864936
50	0.232671857
51	0.228310342
52	0.2244254186
53	0.2202232779
54	0.2161448995
55	0.2117452728
56	0.2081726515
57	0.2051885254
58	0.2022073992
59	0.198794263
60	0.1966046462
61	0.1931134728
62	0.1903341152
63	0.1868583748
64	0.1836272461
65	0.1811291348
66	0.1781198671
67	0.1751475757
68	0.1723034895
69	0.1694392312
70	0.1672335031
71	0.1645062081
72	0.1623980723
73	0.1597940818
74	0.1579597707
75	0.1566052698
76	0.154339479
77	0.1528025109
78	0.1513607296
79	0.1496648374
80	0.1478121545
81	0.145886217
82	0.1443287033
83	0.1417139802
84	0.1396212677
85	0.1380244474
86	0.1361871199
87	0.1340618203
88	0.1323522028
89	0.1302384061
90	0.12908935
91	0.1276188227
92	0.1253873235
93	0.1239407084
94	0.1221043751
95	0.1206176289
96	0.1188976066
97	0.1174785593
98	0.1160616026
99	0.1149255142
100	0.1140304244
101	0.1129239713
102	0.110980915
103	0.1096733612
104	0.1085767862
105	0.1073578534
106	0.1058959039
107	0.1047562108
108	0.1037085361
109	0.1020909083
110	0.1003315658
111	0.09898928905
112	0.09771643922
113	0.09672583468
114	0.09554872709
115	0.09421070968
116	0.09312046914
117	0.09172306582
118	0.09076300645
119	0.08963046471
120	0.08841128851
121	0.08728326954
122	0.08633499484
123	0.08525026147
124	0.08420081067
125	0.08329194305
126	0.08245083764
127	0.08173036978
128	0.0809532767
129	0.07976361898
